epoch,step,train_loss_epoch,train_loss_step
0,47,,0.053239576518535614
0,47,0.04571172967553139,
1,95,,0.14970359206199646
1,95,0.04899140074849129,
2,143,,0.06492148339748383
2,143,0.03984939679503441,
3,191,,0.0182366743683815
3,191,0.036423731595277786,
4,239,,0.021149400621652603
4,239,0.04495856538414955,
5,287,,0.13745561242103577
5,287,0.05088166519999504,
6,335,,0.12465158849954605
6,335,0.05299881100654602,
7,383,,0.0131892841309309
7,383,0.04303596541285515,
8,431,,0.021582787856459618
8,431,0.04966950789093971,
9,479,,0.022763120010495186
9,479,0.04411819949746132,
10,527,,0.015764160081744194
10,527,0.045828986912965775,
11,575,,0.024088241159915924
11,575,0.0464409776031971,
12,623,,0.014843245968222618
12,623,0.02960161119699478,
13,671,,0.014386994764208794
13,671,0.041470251977443695,
14,719,,0.018880415707826614
14,719,0.047524940222501755,
15,767,,0.13304120302200317
15,767,0.05528673902153969,
16,815,,0.030851664021611214
16,815,0.05510774627327919,
17,863,,0.059684496372938156
17,863,0.04378407076001167,
18,911,,0.09608668088912964
18,911,0.04545016214251518,
19,959,,0.016769148409366608
19,959,0.04223466292023659,
20,1007,,0.013989501632750034
20,1007,0.03539568558335304,
21,1055,,0.01335147861391306
21,1055,0.04273084178566933,
22,1103,,0.024828914552927017
22,1103,0.04273630306124687,
23,1151,,0.014595435932278633
23,1151,0.052295830100774765,
24,1199,,0.15873564779758453
24,1199,0.04663990065455437,
25,1247,,0.015982266515493393
25,1247,0.04982415959239006,
26,1295,,0.016475200653076172
26,1295,0.050186242908239365,
27,1343,,0.013560292311012745
27,1343,0.0420314185321331,
28,1391,,0.029085742309689522
28,1391,0.04208609089255333,
29,1439,,0.015680283308029175
29,1439,0.04498675465583801,
30,1487,,0.012929156422615051
30,1487,0.04354763403534889,
31,1535,,0.1215892881155014
31,1535,0.04242841899394989,
32,1583,,0.10591781884431839
32,1583,0.03699863329529762,
33,1631,,0.017242709174752235
33,1631,0.04903171956539154,
34,1679,,0.026698531582951546
34,1679,0.037623219192028046,
35,1727,,0.022691141813993454
35,1727,0.054653286933898926,
36,1775,,0.02410091646015644
36,1775,0.049108926206827164,
37,1823,,0.01491674967110157
37,1823,0.03742900863289833,
38,1871,,0.01795502007007599
38,1871,0.04220142588019371,
39,1919,,0.02938508242368698
39,1919,0.04175874963402748,
40,1967,,0.12709012627601624
40,1967,0.05575762689113617,
41,2015,,0.02958887442946434
41,2015,0.0411221943795681,
42,2063,,0.025190096348524094
42,2063,0.04266650974750519,
43,2111,,0.04388643801212311
43,2111,0.054444778710603714,
44,2159,,0.017151664942502975
44,2159,0.0479254387319088,
45,2207,,0.02415931224822998
45,2207,0.04408503696322441,
46,2255,,0.015005172230303288
46,2255,0.047297194600105286,
47,2303,,0.10051540285348892
47,2303,0.032737161964178085,
48,2351,,0.028239507228136063
48,2351,0.0412198044359684,
49,2399,,0.057274773716926575
49,2399,0.040432631969451904,
50,2447,,0.04019344598054886
50,2447,0.047697458416223526,
51,2495,,0.08207465708255768
51,2495,0.05735662207007408,
52,2543,,0.017736002802848816
52,2543,0.05038030073046684,
53,2591,,0.022947732359170914
53,2591,0.034435853362083435,
54,2639,,0.04807893559336662
54,2639,0.042265038937330246,
55,2687,,0.01402692124247551
55,2687,0.03265194967389107,
56,2735,,0.01840444654226303
56,2735,0.04772656038403511,
57,2783,,0.02969656139612198
57,2783,0.03756864741444588,
58,2831,,0.014444053173065186
58,2831,0.04324828088283539,
59,2879,,0.013658158481121063
59,2879,0.03669790178537369,
60,2927,,0.025083027780056
60,2927,0.04819139465689659,
61,2975,,0.015189520083367825
61,2975,0.047730252146720886,
62,3023,,0.014824246987700462
62,3023,0.034181710332632065,
63,3071,,0.024915369227528572
63,3071,0.03392123430967331,
64,3119,,0.018551599234342575
64,3119,0.04581952467560768,
65,3167,,0.014794154092669487
65,3167,0.04125279188156128,
66,3215,,0.01290888525545597
66,3215,0.03371037170290947,
67,3263,,0.10560246556997299
67,3263,0.05535122752189636,
68,3311,,0.013648150488734245
68,3311,0.03320711478590965,
69,3359,,0.015568639151751995
69,3359,0.038518354296684265,
70,3407,,0.0353504903614521
